yyyy mm dd doy hh mm ss     H [nT]     D [nT]     Z [nT]     Proton [nT]
2023 07 10 191 21 23 40   29218.51    1737.26   39959.20   50593.13
2023 07 10 191 21 23 45   29218.53    1737.25   39959.24   50593.18
2023 07 10 191 21 23 50   29218.54    1737.23   39959.23   50593.10
2023 07 10 191 21 23 55   29218.55    1737.21   39959.27   50593.13
2023 07 10 191 21 24 00   29218.59    1737.20   39959.29   50593.17
2023 07 10 191 21 24 05   29218.63    1737.18   39959.26   50593.25
2023 07 10 191 21 24 10   29218.63    1737.15   39959.29   50593.27
2023 07 10 191 21 24 15   29218.62    1737.14   39959.32   50593.30
2023 07 10 191 21 24 20   29218.64    1737.13   39959.30   50593.23
2023 07 10 191 21 24 25   29218.67    1737.12   39959.32   50593.35
2023 07 10 191 21 24 30   29218.71    1737.13   39959.33   50593.36
2023 07 10 191 21 24 35   29218.72    1737.13   39959.33   50593.27
2023 07 10 191 21 24 40   29218.74    1737.14   39959.34   50593.40
2023 07 10 191 21 24 45   29218.76    1737.16   39959.33   50593.37
2023 07 10 191 21 24 50   29218.78    1737.16   39959.29   50593.31
2023 07 10 191 21 24 55   29218.80    1737.14   39959.26   50593.37
2023 07 10 191 21 25 00   29218.79    1737.14   39959.29   50593.39
2023 07 10 191 21 25 05   29218.80    1737.10   39959.32   50593.37
2023 07 10 191 21 25 10   29218.82    1737.08   39959.35   50593.45
2023 07 10 191 21 25 15   29218.82    1737.07   39959.37   50593.47
2023 07 10 191 21 25 20   29218.84    1737.07   39959.37   50593.39
2023 07 10 191 21 25 25   29218.85    1737.06   39959.39   50593.51
2023 07 10 191 21 25 30   29218.85    1737.04   39959.41   50593.51
2023 07 10 191 21 25 35   29218.85    1737.05   39959.42   50593.53
2023 07 10 191 21 25 40   29218.88    1737.05   39959.39   50593.51
2023 07 10 191 21 25 45   29218.89    1737.03   39959.39   50593.43
2023 07 10 191 21 25 50   29218.88    1737.02   39959.41   50593.49
2023 07 10 191 21 25 55   29218.89    1737.01   39959.45   50593.53
2023 07 10 191 21 26 00   29218.89    1737.01   39959.45   50593.49
2023 07 10 191 21 26 05   29218.91    1737.03   39959.46   50593.55
2023 07 10 191 21 26 10   29218.89    1737.03   39959.46   50593.60
2023 07 10 191 21 26 15   29218.90    1737.06   39959.46   50593.59
2023 07 10 191 21 26 20   29218.91    1737.11   39959.46   50593.49
2023 07 10 191 21 26 25   29218.90    1737.13   39959.44   50593.56
2023 07 10 191 21 26 30   29218.89    1737.14   39959.41   50593.53
2023 07 10 191 21 26 35   29218.88    1737.17   39959.36   50593.40
2023 07 10 191 21 26 40   29218.86    1737.20   39959.35   50593.48
2023 07 10 191 21 26 45   29218.82    1737.21   39959.37   50593.45
2023 07 10 191 21 26 50   29218.77    1737.24   39959.35   50593.45
2023 07 10 191 21 26 55   29218.72    1737.27   39959.34   50593.42
2023 07 10 191 21 27 00   29218.71    1737.32   39959.34   50593.31
2023 07 10 191 21 27 05   29218.71    1737.37   39959.34   50593.36
2023 07 10 191 21 27 10   29218.72    1737.44   39959.30   50593.36
2023 07 10 191 21 27 15   29218.72    1737.48   39959.27   50593.31
2023 07 10 191 21 27 20   29218.72    1737.52   39959.24   50593.21
2023 07 10 191 21 27 25   29218.70    1737.54   39959.24   50593.30
2023 07 10 191 21 27 30   29218.69    1737.55   39959.21   50593.27
2023 07 10 191 21 27 35   29218.69    1737.54   39959.22   50593.20
2023 07 10 191 21 27 40   29218.69    1737.54   39959.21   50593.26
2023 07 10 191 21 27 45   29218.69    1737.54   39959.20   50593.26
2023 07 10 191 21 27 50   29218.68    1737.53   39959.22   50593.25
2023 07 10 191 21 27 55   29218.65    1737.52   39959.25   50593.24
2023 07 10 191 21 28 00   29218.62    1737.52   39959.24   50593.18
2023 07 10 191 21 28 05   29218.63    1737.52   39959.23   50593.21
2023 07 10 191 21 28 10   29218.59    1737.53   39959.23   50593.22
2023 07 10 191 21 28 15   29218.62    1737.54   39959.21   50593.20
2023 07 10 191 21 28 20   29218.60    1737.55   39959.16   50593.09
2023 07 10 191 21 28 25   29218.56    1737.52   39959.19   50593.16
2023 07 10 191 21 28 30   29218.54    1737.53   39959.22   50593.16
2023 07 10 191 21 28 35   29218.53    1737.55   39959.22   50593.05
2023 07 10 191 21 28 40   29218.51    1737.58   39959.21   50593.14
2023 07 10 191 21 28 45   29218.47    1737.59   39959.22   50593.13
2023 07 10 191 21 28 50   29218.44    1737.58   39959.24   50593.03
2023 07 10 191 21 28 55   29218.43    1737.58   39959.24   50593.12
2023 07 10 191 21 29 00   29218.42    1737.62   39959.22   50593.12
2023 07 10 191 21 29 05   29218.39    1737.63   39959.20   50593.05
2023 07 10 191 21 29 10   29218.39    1737.65   39959.18   50593.03
2023 07 10 191 21 29 15   29218.36    1737.65   39959.17   50593.02
2023 07 10 191 21 29 20   29218.33    1737.66   39959.16   50592.93
2023 07 10 191 21 29 25   29218.30    1737.68   39959.13   50592.97
2023 07 10 191 21 29 30   29218.30    1737.67   39959.14   50592.95
2023 07 10 191 21 29 35   29218.24    1737.67   39959.18   50592.95
2023 07 10 191 21 29 40   29218.21    1737.65   39959.18   50592.96
2023 07 10 191 21 29 45   29218.20    1737.66   39959.18   50592.87
2023 07 10 191 21 29 50   29218.21    1737.68   39959.13   50592.93
2023 07 10 191 21 29 55   29218.19    1737.67   39959.11   50592.90
2023 07 10 191 21 30 00   29218.19    1737.66   39959.09   50592.79
2023 07 10 191 21 30 05   29218.19    1737.66   39959.12   50592.84
2023 07 10 191 21 30 10   29218.15    1737.64   39959.14   50592.85
2023 07 10 191 21 30 15   29218.14    1737.62   39959.14   50592.89
2023 07 10 191 21 30 20   29218.12    1737.60   39959.15   50592.76
2023 07 10 191 21 30 25   29218.11    1737.60   39959.17   50592.85
2023 07 10 191 21 30 30   29218.09    1737.58   39959.17   50592.89
2023 07 10 191 21 30 35   29218.08    1737.58   39959.16   50592.79
2023 07 10 191 21 30 40   29218.07    1737.58   39959.16   50592.81
2023 07 10 191 21 30 45   29218.06    1737.57   39959.16   50592.83
2023 07 10 191 21 30 50   29218.06    1737.57   39959.15   50592.84
2023 07 10 191 21 30 55   29218.05    1737.57   39959.14   50592.84
2023 07 10 191 21 31 00   29218.04    1737.56   39959.18   50592.77
2023 07 10 191 21 31 05   29218.04    1737.55   39959.20   50592.83
2023 07 10 191 21 31 10   29218.02    1737.51   39959.23   50592.89
2023 07 10 191 21 31 15   29218.01    1737.49   39959.26   50592.89
2023 07 10 191 21 31 20   29218.03    1737.49   39959.25   50592.79
2023 07 10 191 21 31 25   29217.99    1737.47   39959.23   50592.84
2023 07 10 191 21 31 30   29217.99    1737.47   39959.23   50592.85
2023 07 10 191 21 31 35   29217.96    1737.47   39959.23   50592.79
2023 07 10 191 21 31 40   29217.99    1737.49   39959.14   50592.77
2023 07 10 191 21 31 45   29217.96    1737.49   39959.13   50592.76
2023 07 10 191 21 31 50   29217.94    1737.47   39959.15   50592.75
2023 07 10 191 21 31 55   29217.91    1737.44   39959.20   50592.79
2023 07 10 191 21 32 00   29217.90    1737.41   39959.22   50592.70
2023 07 10 191 21 32 05   29217.88    1737.39   39959.23   50592.75
2023 07 10 191 21 32 10   29217.89    1737.36   39959.24   50592.76
2023 07 10 191 21 32 15   29217.85    1737.34   39959.26   50592.79
2023 07 10 191 21 32 20   29217.84    1737.32   39959.25   50592.70
2023 07 10 191 21 32 25   29217.83    1737.30   39959.25   50592.76
2023 07 10 191 21 32 30   29217.80    1737.29   39959.26   50592.71
2023 07 10 191 21 32 35   29217.79    1737.29   39959.28   50592.74
2023 07 10 191 21 32 40   29217.79    1737.28   39959.27   50592.76
2023 07 10 191 21 32 45   29217.76    1737.29   39959.24   50592.65
2023 07 10 191 21 32 50   29217.69    1737.26   39959.31   50592.75
2023 07 10 191 21 32 55   29217.68    1737.24   39959.34   50592.75
2023 07 10 191 21 33 00   29217.68    1737.26   39959.32   50592.65
2023 07 10 191 21 33 05   29217.69    1737.24   39959.31   50592.67
2023 07 10 191 21 33 10   29217.69    1737.24   39959.26   50592.66
2023 07 10 191 21 33 15   29217.67    1737.29   39959.21   50595.21
2023 07 10 191 21 33 20   29217.66    1737.23   39959.20   50592.52
2023 07 10 191 21 33 25   29217.63    1737.18   39959.25   50592.57
2023 07 10 191 21 33 30   29217.61    1737.14   39959.27   50592.66
2023 07 10 191 21 33 35   29217.61    1737.09   39959.30   50592.63
2023 07 10 191 21 33 40   29217.62    1737.04   39959.32   50592.69
2023 07 10 191 21 33 45   29217.61    1737.00   39959.32   50592.59
2023 07 10 191 21 33 50   29217.61    1736.96   39959.34   50592.68
2023 07 10 191 21 33 55   29217.62    1736.92   39959.36   50592.73
2023 07 10 191 21 34 00   29217.63    1736.89   39959.37   50592.64
2023 07 10 191 21 34 05   29217.64    1736.86   39959.38   50592.71
2023 07 10 191 21 34 10   29217.66    1736.82   39959.41   50592.73
2023 07 10 191 21 34 15   29217.65    1736.78   39959.41   50592.79
2023 07 10 191 21 34 20   29217.67    1736.76   39959.43   50592.72
2023 07 10 191 21 34 25   29217.66    1736.75   39959.43   50592.80
2023 07 10 191 21 34 30   29217.68    1736.73   39959.45   50592.83
2023 07 10 191 21 34 35   29217.68    1736.72   39959.50   50592.82
2023 07 10 191 21 34 40   29217.64    1736.70   39959.52   50592.87
2023 07 10 191 21 34 45   29217.67    1736.71   39959.54   50592.80
2023 07 10 191 21 34 50   29217.70    1736.75   39959.46   50592.76
2023 07 10 191 21 34 55   29217.68    1736.74   39959.47   50592.83
2023 07 10 191 21 35 00   29217.66    1736.75   39959.46   50592.73
2023 07 10 191 21 35 05   29217.65    1736.78   39959.41   50592.73
2023 07 10 191 21 35 10   29217.64    1736.79   39959.45   50592.76
2023 07 10 191 21 35 15   29217.62    1736.81   39959.46   50592.80
2023 07 10 191 21 35 20   29217.60    1736.84   39959.45   50592.66
2023 07 10 191 21 35 25   29217.59    1736.87   39959.43   50592.72
2023 07 10 191 21 35 30   29217.59    1736.87   39959.41   50592.74
2023 07 10 191 21 35 35   29217.56    1736.87   39959.45   50592.64
2023 07 10 191 21 35 40   29217.53    1736.88   39959.46   50592.70
2023 07 10 191 21 35 45   29217.52    1736.89   39959.45   50592.75
2023 07 10 191 21 35 50   29217.52    1736.95   39959.40   50592.70
2023 07 10 191 21 35 55   29217.50    1736.99   39959.37   50592.70
2023 07 10 191 21 36 00   29217.51    1737.01   39959.33   50592.58
2023 07 10 191 21 36 05   29217.50    1737.03   39959.37   50592.62
2023 07 10 191 21 36 10   29217.48    1737.04   39959.34   50592.60
2023 07 10 191 21 36 15   29217.49    1737.07   39959.33   50592.62
2023 07 10 191 21 36 20   29217.48    1737.09   39959.33   50592.56
2023 07 10 191 21 36 25   29217.43    1737.10   39959.36   50592.61
2023 07 10 191 21 36 30   29217.40    1737.11   39959.37   50592.53
2023 07 10 191 21 36 35   29217.41    1737.13   39959.36   50592.53
2023 07 10 191 21 36 40   29217.42    1737.14   39959.35   50592.59
2023 07 10 191 21 36 45   29217.42    1737.16   39959.30   50592.48
2023 07 10 191 21 36 50   29217.41    1737.18   39959.30   50592.51
2023 07 10 191 21 36 55   29217.37    1737.20   39959.27   50592.53
2023 07 10 191 21 37 00   29217.37    1737.21   39959.26   50592.43
2023 07 10 191 21 37 05   29217.38    1737.20   39959.27   50592.45
2023 07 10 191 21 37 10   29217.36    1737.21   39959.27   50592.45
2023 07 10 191 21 37 15   29217.34    1737.23   39959.29   50592.52
2023 07 10 191 21 37 20   29217.34    1737.22   39959.29   50592.44
2023 07 10 191 21 37 25   29217.32    1737.20   39959.33   50592.48
2023 07 10 191 21 37 30   29217.31    1737.19   39959.34   50592.52
2023 07 10 191 21 37 35   29217.33    1737.21   39959.32   50592.47
2023 07 10 191 21 37 40   29217.33    1737.25   39959.28   50592.52
2023 07 10 191 21 37 45   29217.31    1737.27   39959.25   50592.40
2023 07 10 191 21 37 50   29217.29    1737.28   39959.27   50592.41
2023 07 10 191 21 37 55   29217.27    1737.31   39959.27   50592.45
2023 07 10 191 21 38 00   29217.24    1737.34   39959.27   50592.36
2023 07 10 191 21 38 05   29217.27    1737.40   39959.20   50592.36
2023 07 10 191 21 38 10   29217.22    1737.37   39959.24   50592.32
2023 07 10 191 21 38 15   29217.24    1737.38   39959.27   50592.42
2023 07 10 191 21 38 20   29217.20    1737.42   39959.24   50592.29
2023 07 10 191 21 38 25   29217.16    1737.45   39959.23   50592.31
2023 07 10 191 21 38 30   29217.15    1737.49   39959.21   50592.38
2023 07 10 191 21 38 35   29217.13    1737.55   39959.15   50592.28
2023 07 10 191 21 38 40   29217.13    1737.60   39959.13   50592.31
2023 07 10 191 21 38 45   29217.10    1737.66   39959.10   50592.19
2023 07 10 191 21 38 50   29217.09    1737.71   39959.08   50592.19
2023 07 10 191 21 38 55   29217.07    1737.73   39959.06   50592.19
2023 07 10 191 21 39 00   29217.03    1737.76   39959.06   50592.10
2023 07 10 191 21 39 05   29217.03    1737.78   39959.07   50592.17
2023 07 10 191 21 39 10   29217.00    1737.79   39959.05   50592.09
2023 07 10 191 21 39 15   29216.96    1737.79   39959.07   50592.14
2023 07 10 191 21 39 20   29216.93    1737.80   39959.07   50592.07
2023 07 10 191 21 39 25   29216.93    1737.84   39959.05   50592.09
2023 07 10 191 21 39 30   29216.88    1737.86   39959.05   50591.99
2023 07 10 191 21 39 35   29216.86    1737.89   39959.07   50591.95
2023 07 10 191 21 39 40   29216.83    1737.93   39959.04   50592.03
2023 07 10 191 21 39 45   29216.83    1737.95   39958.98   50591.92
2023 07 10 191 21 39 50   29216.82    1737.97   39958.93   50591.90
2023 07 10 191 21 39 55   29216.85    1737.99   39958.90   50591.94
2023 07 10 191 21 40 00   29216.82    1737.97   39958.93   50591.87
2023 07 10 191 21 40 05   29216.79    1737.98   39958.96   50591.90
2023 07 10 191 21 40 10   29216.79    1737.98   39958.96   50591.89
2023 07 10 191 21 40 15   29216.79    1737.99   39958.96   50591.95
2023 07 10 191 21 40 20   29216.76    1738.03   39958.98   50591.88
2023 07 10 191 21 40 25   29216.75    1738.07   39958.97   50591.93
2023 07 10 191 21 40 30   29216.74    1738.10   39958.96   50591.85
2023 07 10 191 21 40 35   29216.74    1738.15   39958.96   50591.82
2023 07 10 191 21 40 40   29216.76    1738.20   39958.93   50650.62
2023 07 10 191 21 40 45   29216.74    1738.23   39958.91   50591.83
2023 07 10 191 21 40 50   29216.72    1738.27   39958.89   50591.77
2023 07 10 191 21 40 55   29216.71    1738.31   39958.89   50591.84
2023 07 10 191 21 41 00   29216.72    1738.35   39958.88   50591.78
2023 07 10 191 21 41 05   29216.70    1738.40   39958.88   50591.73
2023 07 10 191 21 41 10   29216.68    1738.46   39958.84   50591.71
2023 07 10 191 21 41 15   29216.66    1738.52   39958.82   50591.74
2023 07 10 191 21 41 20   29216.64    1738.57   39958.79   50591.66
2023 07 10 191 21 41 25   29216.63    1738.62   39958.76   50591.62
2023 07 10 191 21 41 30   29216.61    1738.68   39958.76   50591.64
2023 07 10 191 21 41 35   29216.59    1738.73   39958.73   50591.57
2023 07 10 191 21 41 40   29216.57    1738.76   39958.72   50591.62
2023 07 10 191 21 41 45   29216.57    1738.81   39958.70   50591.54
2023 07 10 191 21 41 50   29216.56    1738.85   39958.72   50591.53
2023 07 10 191 21 41 55   29216.54    1738.89   39958.71   50591.61
2023 07 10 191 21 42 00   29216.53    1738.93   39958.70   50591.54
2023 07 10 191 21 42 05   29216.54    1738.98   39958.68   50591.49
2023 07 10 191 21 42 10   29216.52    1739.04   39958.66   50591.52
2023 07 10 191 21 42 15   29216.50    1739.09   39958.65   50591.49
2023 07 10 191 21 42 20   29216.50    1739.13   39958.64   50591.42
2023 07 10 191 21 42 25   29216.49    1739.16   39958.65   50591.51
2023 07 10 191 21 42 30   29216.48    1739.19   39958.67   50591.49
2023 07 10 191 21 42 35   29216.49    1739.21   39958.68   50591.46
2023 07 10 191 21 42 40   29216.50    1739.22   39958.67   50591.54
2023 07 10 191 21 42 45   29216.52    1739.24   39958.67   50591.50
2023 07 10 191 21 42 50   29216.55    1739.21   39958.66   50591.49
2023 07 10 191 21 42 55   29216.56    1739.22   39958.65   50591.56
2023 07 10 191 21 43 00   29216.59    1739.22   39958.66   50591.51
2023 07 10 191 21 43 05   29216.60    1739.23   39958.68   50591.57
2023 07 10 191 21 43 10   29216.60    1739.23   39958.71   50591.64
2023 07 10 191 21 43 15   29216.57    1739.24   39958.70   50591.53
2023 07 10 191 21 43 20   29216.61    1739.24   39958.72   50591.58
2023 07 10 191 21 43 25   29216.61    1739.26   39958.71   50591.66
2023 07 10 191 21 43 30   29216.61    1739.24   39958.71   50591.62
2023 07 10 191 21 43 35   29216.60    1739.27   39958.71   50591.59
2023 07 10 191 21 43 40   29216.62    1739.27   39958.74   50591.67
2023 07 10 191 21 43 45   29216.59    1739.30   39958.71   50591.61
2023 07 10 191 21 43 50   29216.56    1739.33   39958.71   50591.56
2023 07 10 191 21 43 55   29216.54    1739.35   39958.74   50591.63
2023 07 10 191 21 44 00   29216.52    1739.39   39958.76   50591.58
2023 07 10 191 21 44 05   29216.51    1739.43   39958.74   50591.58
2023 07 10 191 21 44 10   29216.49    1739.44   39958.73   50591.54
2023 07 10 191 21 44 15   29216.47    1739.43   39958.72   50591.62
2023 07 10 191 21 44 20   29216.49    1739.45   39958.75   50591.54
2023 07 10 191 21 44 25   29216.50    1739.45   39958.73   50591.61
2023 07 10 191 21 44 30   29216.50    1739.47   39958.74   50591.58
2023 07 10 191 21 44 35   29216.49    1739.48   39958.75   50591.55
2023 07 10 191 21 44 40   29216.48    1739.49   39958.76   50591.61
2023 07 10 191 21 44 45   29216.47    1739.51   39958.74   50591.54
2023 07 10 191 21 44 50   29216.43    1739.54   39958.74   50591.50
2023 07 10 191 21 44 55   29216.44    1739.57   39958.74   50591.57
2023 07 10 191 21 45 00   29216.41    1739.59   39958.74   50591.51
2023 07 10 191 21 45 05   29216.38    1739.62   39958.72   50591.48
2023 07 10 191 21 45 10   29216.38    1739.65   39958.70   50591.44
2023 07 10 191 21 45 15   29216.35    1739.67   39958.73   50591.51
2023 07 10 191 21 45 20   29216.35    1739.70   39958.74   50591.40
2023 07 10 191 21 45 25   29216.33    1739.74   39958.71   50591.49
2023 07 10 191 21 45 30   29216.34    1739.81   39958.65   50591.38
2023 07 10 191 21 45 35   29216.33    1739.82   39958.63   50591.30
2023 07 10 191 21 45 40   29216.29    1739.84   39958.63   50591.38
2023 07 10 191 21 45 45   29216.28    1739.85   39958.67   50591.39
2023 07 10 191 21 45 50   29216.29    1739.87   39958.67   50591.34
2023 07 10 191 21 45 55   29216.28    1739.89   39958.66   50591.42
2023 07 10 191 21 46 00   29216.26    1739.91   39958.65   50591.40
2023 07 10 191 21 46 05   29216.28    1739.93   39958.64   50591.36
2023 07 10 191 21 46 10   29216.27    1739.97   39958.66   50591.41
2023 07 10 191 21 46 15   29216.26    1740.00   39958.65   50591.38
2023 07 10 191 21 46 20   29216.24    1740.04   39958.64   50591.32
2023 07 10 191 21 46 25   29216.24    1740.07   39958.61   50591.36
2023 07 10 191 21 46 30   29216.24    1740.12   39958.60   50591.33
2023 07 10 191 21 46 35   29216.22    1740.13   39958.59   50591.26
2023 07 10 191 21 46 40   29216.24    1740.15   39958.60   50591.34
2023 07 10 191 21 46 45   29216.25    1740.17   39958.59   50591.30
2023 07 10 191 21 46 50   29216.24    1740.19   39958.57   50591.31
2023 07 10 191 21 46 55   29216.26    1740.20   39958.59   50591.30
2023 07 10 191 21 47 00   29216.27    1740.20   39958.61   50591.27
2023 07 10 191 21 47 05   29216.29    1740.22   39958.57   50591.27
2023 07 10 191 21 47 10   29216.29    1740.22   39958.59   50591.32
2023 07 10 191 21 47 15   29216.30    1740.23   39958.57   50591.34
2023 07 10 191 21 47 20   29216.29    1740.24   39958.56   50591.26
2023 07 10 191 21 47 25   29216.28    1740.26   39958.58   50591.35
2023 07 10 191 21 47 30   29216.29    1740.28   39958.60   50591.32
2023 07 10 191 21 47 35   29216.28    1740.31   39958.59   50591.27
2023 07 10 191 21 47 40   29216.26    1740.34   39958.61   50591.38
2023 07 10 191 21 47 45   29216.27    1740.34   39958.63   50591.36
2023 07 10 191 21 47 50   29216.27    1740.35   39958.66   50591.34
2023 07 10 191 21 47 55   29216.28    1740.37   39958.70   50591.46
2023 07 10 191 21 48 00   29216.31    1740.41   39958.66   50591.39
2023 07 10 191 21 48 05   29216.32    1740.47   39958.63   50591.40
2023 07 10 191 21 48 10   29216.29    1740.49   39958.64   50591.36
2023 07 10 191 21 48 15   29216.32    1740.53   39958.63   50591.43
2023 07 10 191 21 48 20   29216.35    1740.57   39958.61   50591.35
2023 07 10 191 21 48 25   29216.34    1740.57   39958.61   50591.43
2023 07 10 191 21 48 30   29216.37    1740.57   39958.62   50591.43
2023 07 10 191 21 48 35   29216.38    1740.57   39958.64   50591.38
2023 07 10 191 21 48 40   29216.41    1740.57   39958.68   50591.46
2023 07 10 191 21 48 45   29216.43    1740.60   39958.66   50591.47
2023 07 10 191 21 48 50   29216.43    1740.59   39958.65   50591.44
2023 07 10 191 21 48 55   29216.48    1740.62   39958.63   50591.49
2023 07 10 191 21 49 00   29216.47    1740.62   39958.62   50591.43
2023 07 10 191 21 49 05   29216.48    1740.64   39958.61   50591.51
2023 07 10 191 21 49 10   29216.48    1740.61   39958.66   50591.54
2023 07 10 191 21 49 15   29216.47    1740.61   39958.70   50591.53
2023 07 10 191 21 49 20   29216.50    1740.60   39958.71   50591.51
2023 07 10 191 21 49 25   29216.52    1740.59   39958.74   50591.61
2023 07 10 191 21 49 30   29216.52    1740.57   39958.76   50591.60
2023 07 10 191 21 49 35   29216.52    1740.56   39958.78   50591.57
2023 07 10 191 21 49 40   29216.54    1740.57   39958.76   50591.67
2023 07 10 191 21 49 45   29216.56    1740.55   39958.78   50591.59
2023 07 10 191 21 49 50   29216.53    1740.54   39958.83   50591.72
2023 07 10 191 21 49 55   29216.54    1740.55   39958.85   50591.67
2023 07 10 191 21 50 00   29216.56    1740.55   39958.86   50591.67
2023 07 10 191 21 50 05   29216.56    1740.59   39958.84   50591.67
2023 07 10 191 21 50 10   29216.57    1740.63   39958.80   50591.70
2023 07 10 191 21 50 15   29216.55    1740.65   39958.79   50591.63
2023 07 10 191 21 50 20   29216.53    1740.69   39958.77   50591.61
2023 07 10 191 21 50 25   29216.53    1740.73   39958.77   50591.69
2023 07 10 191 21 50 30   29216.56    1740.77   39958.74   50591.61
2023 07 10 191 21 50 35   29216.56    1740.81   39958.74   50591.56
2023 07 10 191 21 50 40   29216.53    1740.87   39958.71   50591.63
2023 07 10 191 21 50 45   29216.50    1740.86   39958.71   50591.54
2023 07 10 191 21 50 50   29216.53    1740.89   39958.71   50591.61
2023 07 10 191 21 50 55   29216.52    1740.91   39958.69   50591.55
2023 07 10 191 21 51 00   29216.51    1740.93   39958.71   50591.53
2023 07 10 191 21 51 05   29216.50    1740.95   39958.70   50591.54
2023 07 10 191 21 51 10   29216.53    1740.99   39958.65   50591.59
2023 07 10 191 21 51 15   29216.51    1741.02   39958.63   50591.52
2023 07 10 191 21 51 20   29216.51    1741.06   39958.61   50591.46
2023 07 10 191 21 51 25   29216.50    1741.04   39958.63   50591.52
2023 07 10 191 21 51 30   29216.47    1741.04   39958.67   50591.51
2023 07 10 191 21 51 35   29216.46    1741.03   39958.69   50591.48
2023 07 10 191 21 51 40   29216.45    1741.01   39958.75   50591.59
2023 07 10 191 21 51 45   29216.43    1740.99   39958.80   50591.58
2023 07 10 191 21 51 50   29216.45    1740.99   39958.80   50591.56
2023 07 10 191 21 51 55   29216.47    1741.01   39958.77   50591.64
2023 07 10 191 21 52 00   29216.48    1741.02   39958.76   50591.54
2023 07 10 191 21 52 05   29216.48    1741.04   39958.75   50591.59
2023 07 10 191 21 52 10   29216.50    1741.07   39958.75   50591.62
2023 07 10 191 21 52 15   29216.51    1741.09   39958.72   50591.53
2023 07 10 191 21 52 20   29216.50    1741.09   39958.71   50591.53
2023 07 10 191 21 52 25   29216.50    1741.13   39958.71   50591.61
2023 07 10 191 21 52 30   29216.49    1741.16   39958.71   50591.56
2023 07 10 191 21 52 35   29216.50    1741.19   39958.69   50591.52
2023 07 10 191 21 52 40   29216.52    1741.26   39958.64   50591.58
2023 07 10 191 21 52 45   29216.51    1741.29   39958.66   50591.51
2023 07 10 191 21 52 50   29216.52    1741.36   39958.63   50591.47
2023 07 10 191 21 52 55   29216.51    1741.40   39958.60   50591.51
2023 07 10 191 21 53 00   29216.50    1741.45   39958.57   50591.44
2023 07 10 191 21 53 05   29216.49    1741.51   39958.61   50591.50
2023 07 10 191 21 53 10   29216.43    1741.54   39958.62   50591.50
2023 07 10 191 21 53 15   29216.44    1741.62   39958.60   50591.46
2023 07 10 191 21 53 20   29216.41    1741.66   39958.60   50591.39
2023 07 10 191 21 53 25   29216.41    1741.73   39958.55   50591.44
2023 07 10 191 21 53 30   29216.37    1741.75   39958.61   50591.43
2023 07 10 191 21 53 35   29216.37    1741.79   39958.60   50591.36
2023 07 10 191 21 53 40   29216.38    1741.85   39958.54   50591.43
2023 07 10 191 21 53 45   29216.36    1741.91   39958.51   50591.32
2023 07 10 191 21 53 50   29216.36    1741.95   39958.50   50591.37
2023 07 10 191 21 53 55   29216.32    1741.96   39958.51   50591.33
2023 07 10 191 21 54 00   29216.32    1742.00   39958.50   50591.28
2023 07 10 191 21 54 05   29216.34    1742.03   39958.47   50591.28
2023 07 10 191 21 54 10   29216.36    1742.07   39958.45   50591.32
2023 07 10 191 21 54 15   29216.34    1742.09   39958.41   50591.27
2023 07 10 191 21 54 20   29216.37    1742.11   39958.44   50591.23
2023 07 10 191 21 54 25   29216.36    1742.14   39958.43   50591.31
2023 07 10 191 21 54 30   29216.38    1742.18   39958.45   50591.30
2023 07 10 191 21 54 35   29216.39    1742.20   39958.45   50591.26
2023 07 10 191 21 54 40   29216.42    1742.23   39958.42   50591.34
2023 07 10 191 21 54 45   29216.46    1742.24   39958.43   50591.29
2023 07 10 191 21 54 50   29216.46    1742.22   39958.42   50591.37
2023 07 10 191 21 54 55   29216.47    1742.22   39958.45   50591.35
2023 07 10 191 21 55 00   29216.49    1742.21   39958.50   50591.35
2023 07 10 191 21 55 05   29216.47    1742.21   39958.53   50591.39
2023 07 10 191 21 55 10   29216.52    1742.24   39958.48   50591.46
2023 07 10 191 21 55 15   29216.52    1742.25   39958.48   50591.41
2023 07 10 191 21 55 20   29216.51    1742.27   39958.50   50591.37
2023 07 10 191 21 55 25   29216.48    1742.31   39958.57   50591.51
2023 07 10 191 21 55 30   29216.50    1742.35   39958.54   50591.48
2023 07 10 191 21 55 35   29216.51    1742.40   39958.50   50591.40
2023 07 10 191 21 55 40   29216.51    1742.44   39958.50   50591.49
2023 07 10 191 21 55 45   29216.53    1742.47   39958.48   50591.44
2023 07 10 191 21 55 50   29216.52    1742.49   39958.52   50591.47
2023 07 10 191 21 55 55   29216.52    1742.53   39958.52   50591.42
2023 07 10 191 21 56 00   29216.52    1742.56   39958.50   50591.41
2023 07 10 191 21 56 05   29216.54    1742.61   39958.45   50591.46
2023 07 10 191 21 56 10   29216.52    1742.63   39958.49   50591.45
2023 07 10 191 21 56 15   29216.53    1742.68   39958.47   50620.83
2023 07 10 191 21 56 20   29216.53    1742.72   39958.45   50591.39
2023 07 10 191 21 56 25   29216.52    1742.77   39958.44   50591.45
2023 07 10 191 21 56 30   29216.54    1742.81   39958.44   50591.36
2023 07 10 191 21 56 35   29216.51    1742.83   39958.43   50591.43
2023 07 10 191 21 56 40   29216.52    1742.85   39958.43   50591.40
2023 07 10 191 21 56 45   29216.54    1742.89   39958.42   50591.35
