yyyy mm dd doy hh mm ss     H [nT]     D [nT]     Z [nT]     Proton [nT]
2023 07 10 191 00 25 40   29194.54    1749.86   39955.93   50576.06
2023 07 10 191 00 25 45   29194.47    1749.88   39955.91   50575.99
2023 07 10 191 00 25 50   29194.38    1749.86   39955.95   50576.00
2023 07 10 191 00 25 55   29194.37    1749.87   39955.92   50576.02
2023 07 10 191 00 26 00   29194.33    1749.85   39955.88   50575.90
2023 07 10 191 00 26 05   29194.30    1749.82   39955.87   50575.87
2023 07 10 191 00 26 10   29194.31    1749.78   39955.89   50575.85
2023 07 10 191 00 26 15   29194.26    1749.75   39955.90   50575.90
2023 07 10 191 00 26 20   29194.21    1749.71   39955.89   50575.83
2023 07 10 191 00 26 25   29194.15    1749.72   39955.87   50575.85
2023 07 10 191 00 26 30   29194.10    1749.72   39955.87   50575.75
2023 07 10 191 00 26 35   29194.05    1749.73   39955.85   50575.71
2023 07 10 191 00 26 40   29194.04    1749.75   39955.87   50575.78
2023 07 10 191 00 26 45   29194.05    1749.77   39955.86   50575.72
2023 07 10 191 00 26 50   29194.10    1749.78   39955.84   50575.68
2023 07 10 191 00 26 55   29194.12    1749.76   39955.86   50575.80
2023 07 10 191 00 27 00   29194.12    1749.74   39955.86   50575.74
2023 07 10 191 00 27 05   29194.09    1749.70   39955.85   50575.79
2023 07 10 191 00 27 10   29194.14    1749.69   39955.84   50575.73
2023 07 10 191 00 27 15   29194.13    1749.65   39955.87   50575.84
2023 07 10 191 00 27 20   29194.12    1749.65   39955.87   50575.83
2023 07 10 191 00 27 25   29194.03    1749.66   39955.88   50575.77
2023 07 10 191 00 27 30   29193.97    1749.70   39955.84   50575.66
2023 07 10 191 00 27 35   29193.93    1749.74   39955.83   50575.58
2023 07 10 191 00 27 40   29193.90    1749.76   39955.80   50575.63
2023 07 10 191 00 27 45   29193.87    1749.73   39955.80   50575.56
2023 07 10 191 00 27 50   29193.84    1749.69   39955.79   50575.53
