iyr mon idm doy ihr min sec power
 10  3 11  70 12 34 10.0   0.465E-03
 10  3 11  70 12 35 40.0   0.172E-03
 10  3 11  70 12 37 10.0   0.428E-04
 10  3 11  70 12 38 40.0   0.199E-03
 10  3 11  70 12 40 10.0   0.705E-04
 10  3 11  70 12 41 40.0   0.884E-04
 10  3 11  70 12 43 10.0   0.846E-04
 10  3 11  70 12 44 40.0   0.941E-04
 10  3 11  70 12 46 10.0   0.759E-04
 10  3 11  70 12 47 40.0   0.861E-04
 10  3 11  70 12 49 10.0   0.267E-04
 10  3 11  70 12 50 40.0   0.298E-04
 10  3 11  70 12 52 10.0   0.387E-04
 10  3 11  70 12 53 40.0   0.171E-04
 10  3 11  70 12 55 10.0   0.134E-03
 10  3 11  70 12 56 40.0   0.289E-03
 10  3 11  70 12 58 10.0   0.576E-04
 10  3 11  70 12 59 40.0   0.109E-03
 10  3 11  70 13  1 10.0   0.273E-04
 10  3 11  70 13  2 40.0   0.217E-04
 10  3 11  70 13  4 10.0   0.156E-04
 10  3 11  70 13  5 40.0   0.402E-04
 10  3 11  70 13  7 10.0   0.612E-04
 10  3 11  70 13  8 40.0   0.141E-03
 10  3 11  70 13 10 10.0   0.295E-04
 10  3 11  70 13 11 40.0   0.792E-04
 10  3 11  70 13 13 10.0   0.441E-04
 10  3 11  70 13 14 40.0   0.269E-04
 10  3 11  70 13 16 10.0   0.382E-04
 10  3 11  70 13 17 40.0   0.431E-04
 10  3 11  70 13 19 10.0   0.146E-04
 10  3 11  70 13 20 40.0   0.313E-04
 10  3 11  70 13 22 10.0   0.590E-04
 10  3 11  70 13 23 40.0   0.428E-04
 10  3 11  70 13 25 10.0   0.243E-04
 10  3 11  70 13 26 40.0   0.355E-04
 10  3 11  70 13 28 10.0   0.538E-04
 10  3 11  70 13 29 40.0   0.227E-04
 10  3 11  70 13 31 10.0   0.112E-03
 10  3 11  70 13 32 40.0   0.421E-04
 10  3 11  70 13 34 10.0   0.220E-04
 10  3 11  70 13 35 40.0   0.257E-04
 10  3 11  70 13 37 10.0   0.537E-04
 10  3 11  70 13 38 40.0   0.516E-04
 10  3 11  70 13 40 10.0   0.308E-04
 10  3 11  70 13 41 40.0   0.243E-04
 10  3 11  70 13 43 10.0   0.660E-04
 10  3 11  70 13 44 40.0   0.536E-04
 10  3 11  70 13 46 10.0   0.134E-04
